date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:15	29/29	---M--	200	added ('OK')	text/plain	etag:%221d-5f468277-2e80137920d00306;;;%22	https://exoxemis.com/robots.txt		(from )
00:37:16	112219/112219	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202026%2016:37:19%20GMT	https://exoxemis.com/	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/index.html	(from )
00:37:16	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2030%20Mar%202026%2016:37:19%20GMT	https://exoxemis.com/xmlrpc.php	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/xmlrpc.php	(from https://exoxemis.com/)
00:37:17	23607/23607	---M--	200	added ('OK')	image/png	etag:%225c37-5d8d07d4-46c6229014057246;;;%22	https://exoxemis.com/wp-content/uploads/2019/09/exox_logoSheet_250percent-2.png	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/uploads/2019/09/exox_logoSheet_250percent-2.png	(from https://exoxemis.com/)
00:37:17	114706/114706	---M-Z	200	added ('OK')	text/css	etag:%221c012-67515391-10765b02ab951631;gz%22	https://exoxemis.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.5	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-includes/css/dist/block-library/style.mind70e.css	(from https://exoxemis.com/)
00:37:17	1152/1152	---M-Z	200	added ('OK')	application/rss+xml	etag:%229b15dc3a3aac9dd47c173747aa026f8f%22	https://exoxemis.com/feed/	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/feed/index.html	(from https://exoxemis.com/)
00:37:17	39820/39820	---M-Z	200	added ('OK')	text/css	etag:%229b8c-5d8d07d3-8c3544d8273803f3;gz%22	https://exoxemis.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.1	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/plugins/revslider/public/assets/css/settings84f5.css	(from https://exoxemis.com/)
00:37:18	95597/95597	---M-Z	200	added ('OK')	text/css	etag:%221756d-5d8d07d3-4b74ef5c374ade6f;gz%22	https://exoxemis.com/wp-content/themes/clariwell/assets/css/bootstrap.min.css?ver=3.3.6	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/themes/clariwell/assets/css/bootstrap.mine485.css	(from https://exoxemis.com/)
00:37:18	1046/1046	---M-Z	200	added ('OK')	application/rss+xml	etag:%229b15dc3a3aac9dd47c173747aa026f8f%22	https://exoxemis.com/comments/feed/	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/comments/feed/index.html	(from https://exoxemis.com/)
00:37:19	99165/99165	---M-Z	200	added ('OK')	text/css	etag:%221835d-5d8d07d3-30e78e369cfa7868;gz%22	https://exoxemis.com/wp-content/themes/clariwell/assets/css/element.css?ver=6.7.5	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/themes/clariwell/assets/css/elementd70e.css	(from https://exoxemis.com/)
00:37:19	29062/29062	---M-Z	200	added ('OK')	text/css	etag:%227186-5d8d07d3-c97cdec26b48deab;gz%22	https://exoxemis.com/wp-content/themes/clariwell/assets/css/font-awesome.min.css?ver=6.7.5	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/themes/clariwell/assets/css/font-awesome.mind70e.css	(from https://exoxemis.com/)
00:37:19	18710/18710	---M-Z	200	added ('OK')	text/css	etag:%224916-5d8d07d3-4f3c16a33b4c16a2;gz%22	https://exoxemis.com/wp-content/themes/clariwell/assets/css/insignia-icons.css?ver=6.7.5	C:/My%20Web%20Sites/exoxemis.com/exoxemis.com/wp-content/themes/clariwell/assets/css/insignia-iconsd70e.css	(from https://exoxemis.com/)
